date|site|wing|minutes|doarama|comments
2017-05-22|Ed Levin|Niviuk Koyot 3|2||First flight off the 300.
2017-05-22|Ed Levin|Niviuk Koyot 3|2||Weight shift only turns.
2017-05-22|Ed Levin|Niviuk Koyot 3|2||Weight shift + brake turns.
2017-05-22|Ed Levin|Niviuk Koyot 3|2||
2017-05-22|Ed Levin|Niviuk Koyot 3|2||
2017-05-22|Ed Levin|Niviuk Koyot 3|2||
2017-05-22|Ed Levin|Niviuk Koyot 3|3||
2017-05-22|Ed Levin|Niviuk Koyot 3|3||
2017-07-01|Ed Levin|BGD Epic|2||Big ears
2017-07-01|Ed Levin|BGD Epic|2||
2017-07-01|Ed Levin|BGD Epic|2||
2017-07-01|Ed Levin|BGD Epic|3||
2017-07-02|Ed Levin|BGD Epic|2||
2017-07-02|Ed Levin|BGD Epic|2||
2017-07-02|Ed Levin|BGD Epic|2||
2017-07-02|Ed Levin|BGD Epic|2||
2017-07-03|Ed Levin|BGD Epic|2||
2017-07-03|Ed Levin|BGD Epic|2||
2017-07-03|Ed Levin|BGD Epic|2||
2017-07-03|Ed Levin|BGD Epic|2||
2017-07-03|Ed Levin|BGD Epic|2||
2017-07-03|Ed Levin|BGD Epic|2||
2017-07-03|Ed Levin|BGD Epic|4||
2017-07-15|Ed Levin|BGD Epic|2||
2017-07-15|Ed Levin|BGD Epic|2||
2017-07-15|Ed Levin|BGD Epic|2||
2017-07-15|Ed Levin|BGD Epic|2||
2017-07-15|Ed Levin|BGD Epic|2||
2017-07-15|Ed Levin|BGD Epic|2||
2017-07-16|Ed Levin|BGD Epic|2||
2017-07-16|Ed Levin|BGD Epic|2||
2017-07-16|Ed Levin|BGD Epic|2||
2017-07-16|Ed Levin|BGD Epic|2||
2017-07-16|Ed Levin|BGD Epic|2||
2017-07-16|Ed Levin|BGD Epic|2||
2017-08-09|The Dumps|BGD Epic|15||First time at the Dumps.
2017-08-09|The Dumps|BGD Epic|25||
2017-08-09|The Dumps|BGD Epic|30||
2017-08-22|The Dumps|BGD Epic|20||
2017-08-22|The Dumps|BGD Epic|300||Long ass flight at the Dumps, it was beautiful all day long.
2017-08-25|The Dumps|BGD Epic|3||
2017-08-25|The Dumps|BGD Epic|7||
2017-08-25|The Dumps|BGD Epic|10||
2017-08-25|The Dumps|BGD Epic|20||
2017-08-29|The Dumps|BGD Epic|30||
2017-08-29|The Dumps|BGD Epic|60||
2017-09-22|Dunlap|BGD Epic|25||Evening glass off, first time flying somewhere other than Ed or the Dumps.
2017-09-23|Dunlap|BGD Epic|90||First thermal flight, really happy with how long I was able to stay up.
2017-09-23|Dunlap|BGD Epic|35||Evening glass off.
2017-09-24|Dunlap|BGD Epic|77||Second thermal flight, not as long as the one the day before. Stayed near launch for the most part, ended up too low and had to head to the LZ earlier than I had hoped. Found some lift on my way to the LZ but didn't want to try a 360 because I was already on the low side.
2017-09-29|The Dumps|BGD Epic|30||
2017-09-29|The Dumps|BGD Epic|60||
2017-09-29|The Dumps|BGD Epic|100||
2017-11-11|Ed Levin|BGD Epic|2||300'
2017-11-11|Ed Levin|BGD Epic|3||P3 spot, 600'
2017-11-11|Ed Levin|BGD Epic|4||P3 spot, 600'
2017-11-11|Ed Levin|BGD Epic|5||Almost P3 spot, 600'
2017-11-11|Ed Levin|BGD Epic|5||600'
2018-02-14|The Dumps|BGD Epic|70||1
2018-02-14|The Dumps|BGD Epic|50||2
2018-02-14|The Dumps|BGD Epic|180||3
2018-04-01|The Dumps|BGD Epic|3||
2018-04-01|The Dumps|BGD Epic|7||
2018-04-01|The Dumps|BGD Epic|30||
2018-04-01|The Dumps|BGD Epic|20||
2018-04-01|The Dumps|BGD Epic|60||
2018-04-07|The Dumps|BDG Epic|45||
2018-04-07|The Dumps|BDG Epic|120||
2018-04-07|The Dumps|BDG Epic|15||
2018-04-14|The Dumps|BGD Epic|45||
2018-04-27|The Dumps|BGD Epic|60||
2018-04-27|The Dumps|BGD Epic|40||
2018-04-27|The Dumps|BGD Epic|20||
2018-04-28|The Dumps|BGD Epic|45||
2018-05-05|Potato Hill|BGD Epic|45||First time flying Potato, had a nice flight but landed short of the LZ. Had >300 feet of altitude when I reached the LZ but set up in front and did one too many figure-8 turns (facepalm). When I went in for my final the wind had picked up and I hit sink and was getting maybe 3:1 glide. Lesson learned, set up OVER the front of the LZ if you have space, especially when there's a headwind and possible sink.
2018-05-06|Potato Hill|BGD Epic|60||
2018-06-12|The Dumps|BGD Epic|30||
2018-07-04|Woodrat|BGD Epic|15||Evening extended sledder. Strong valley winds heading to Hunter LZ.
2018-07-05|Woodrat|BGD Epic|120||Longest thermal flight to date. Launched from west face but didn't find much lift near Rabies. Low save heading back from Rabies and benched back up to launch.
2018-07-06|Woodrat|BGD Epic|45||
